training_id,employee_id,company_id,course_name,course_category,enrollment_date,completion_date,completion_status,score,duration_hours
TR000001,C01-E0320,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-04-06,2026-04-22,Concluido,62.0,1.3
TR000002,C01-E0320,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-04-17,2026-04-27,Concluido,82.0,1.7
TR000003,C01-E0320,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-11-27,2025-12-04,Concluido,57.0,1.1
TR000004,C01-E0125,C01,Prompt Engineering na Pratica,IA Generativa,2026-06-25,2026-07-07,Concluido,76.0,2.6
TR000005,C01-E0125,C01,Automatizacao de Tarefas com IA,Produtividade,2026-04-17,2026-04-26,Concluido,83.0,2.8
TR000006,C01-E0180,C01,Analise de Dados com IA,Dados e Analytics,2026-07-04,2026-07-08,Concluido,90.0,4.4
TR000007,C01-E0180,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-06-09,2025-07-30,Concluido,85.0,2.3
TR000008,C01-E0259,C01,Automatizacao de Tarefas com IA,Produtividade,2026-07-16,,Em Andamento,,2.2
TR000009,C01-E0259,C01,Prompt Engineering na Pratica,IA Generativa,2026-07-18,2026-08-10,Concluido,60.0,2.9
TR000010,C01-E0025,C01,Automatizacao de Tarefas com IA,Produtividade,2026-06-05,,Nao Iniciado,,2.8
TR000011,C01-E0025,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-07-17,,Nao Iniciado,,2.2
TR000012,C01-E0025,C01,Fundamentos de IA Generativa,IA Generativa,2025-10-07,2025-12-04,Concluido,67.0,2.1
TR000013,C01-E0309,C01,Analise de Dados com IA,Dados e Analytics,2025-11-02,,Em Andamento,,3.6
TR000014,C01-E0309,C01,Fundamentos de IA Generativa,IA Generativa,2025-12-06,,Nao Iniciado,,2.2
TR000015,C01-E0022,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-07-09,2026-07-29,Concluido,56.0,1.3
TR000016,C01-E0022,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-10-15,2025-10-26,Concluido,100.0,1.7
TR000017,C01-E0126,C01,Automatizacao de Tarefas com IA,Produtividade,2025-07-01,2025-08-07,Concluido,90.0,2.3
TR000018,C01-E0126,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-11-27,,Em Andamento,,1.7
TR000019,C01-E0228,C01,Etica e Governanca de Dados em IA,Governanca,2026-06-19,2026-08-10,Concluido,88.0,2.3
TR000020,C01-E0061,C01,Analise de Dados com IA,Dados e Analytics,2026-07-30,2026-08-10,Concluido,73.0,4.1
TR000021,C01-E0061,C01,Etica e Governanca de Dados em IA,Governanca,2025-11-18,2025-12-06,Concluido,98.0,1.7
TR000022,C01-E0198,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-04-04,2026-05-31,Concluido,72.0,2.2
TR000023,C01-E0198,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-11-16,2025-12-20,Concluido,82.0,4.5
TR000024,C01-E0028,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-11-30,,Nao Iniciado,,2.4
TR000025,C01-E0263,C01,Etica e Governanca de Dados em IA,Governanca,2026-06-18,2026-08-10,Concluido,95.0,2.2
