ai_tool_id,tool_name,provider,tool_category,licensing_type
T01,ChatGPT Enterprise,OpenAI,Assistente Generativo,Por usuario (assinatura)
T02,Claude for Work,Anthropic,Assistente Generativo,Por usuario (assinatura)
T03,Gemini for Google Workspace,Google,Assistente Generativo,Por usuario (assinatura)
T04,Microsoft Copilot Chat,Microsoft,Assistente Generativo,Por usuario (assinatura)
T05,GitHub Copilot,GitHub / Microsoft,Copiloto de Desenvolvimento,Por usuario (assinatura)
T06,Amazon Q Developer,Amazon Web Services,Copiloto de Desenvolvimento,Por usuario (assinatura)
T07,Tabnine,Tabnine,Copiloto de Desenvolvimento,Por usuario (assinatura)
T08,Microsoft 365 Copilot,Microsoft,IA Integrada a Produtividade,Por usuario (assinatura)
T09,Notion AI,Notion Labs,IA Integrada a Produtividade,Por usuario (assinatura)
T10,Azure OpenAI Service,Microsoft Azure,Plataforma Corporativa de IA,Consumo (pay-as-you-go)
T11,AWS Bedrock,Amazon Web Services,Plataforma Corporativa de IA,Consumo (pay-as-you-go)
T12,Google Vertex AI,Google Cloud,Plataforma Corporativa de IA,Consumo (pay-as-you-go)
T13,OpenAI API,OpenAI,API de Modelo,Consumo (pay-as-you-go)
T14,Anthropic API,Anthropic,API de Modelo,Consumo (pay-as-you-go)
T15,Zendesk Answer Bot AI,Zendesk,IA Integrada a Produtividade,Por usuario (assinatura)
